id,sex,有名人のファッションを参考にする,異性の目を気にする,奇抜なファッションが好き,TPOに気をつかう,体型をカバーできる服を買う,好きなブランドがある
317,男性,Yes,No,No,No,Yes,No
318,女性,No,No,No,Yes,No,No
319,男性,No,Yes,No,Yes,Yes,No
320,女性,No,No,No,Yes,Yes,No
321,女性,No,No,No,No,Yes,Yes
322,女性,Yes,No,No,Yes,Yes,No
323,男性,No,No,No,No,No,Yes
324,男性,No,No,No,No,No,Yes
325,女性,No,No,No,Yes,Yes,No
326,女性,No,No,No,No,No,No
327,男性,No,No,Yes,Yes,Yes,Yes
328,男性,No,Yes,No,Yes,No,Yes
329,男性,No,No,No,No,No,No
330,男性,No,No,No,Yes,No,Yes
331,女性,No,No,Yes,No,No,No
332,女性,No,No,No,Yes,No,Yes
333,女性,Yes,No,Yes,Yes,Yes,No
334,女性,No,No,No,Yes,No,No
335,女性,No,No,No,Yes,No,No
336,女性,No,No,No,Yes,No,Yes
337,女性,No,No,Yes,No,No,No
338,女性,Yes,No,No,Yes,No,No
339,男性,Yes,No,No,No,No,Yes
340,男性,No,No,No,No,No,No
341,女性,No,No,No,Yes,No,No
342,男性,No,No,No,No,No,No
343,女性,No,No,No,No,No,No
344,男性,No,Yes,No,No,No,Yes
345,男性,Yes,No,Yes,No,No,Yes
346,男性,No,No,No,No,No,Yes
347,男性,No,Yes,Yes,Yes,No,Yes
348,女性,Yes,No,No,No,No,No
349,女性,No,No,No,Yes,No,No
350,女性,No,No,Yes,Yes,Yes,No
351,男性,No,No,No,Yes,No,No
352,女性,No,No,No,Yes,No,No
353,男性,No,No,No,No,No,Yes
354,女性,No,No,No,Yes,No,No
355,女性,No,No,No,Yes,No,Yes
356,女性,No,No,No,No,Yes,Yes
357,女性,No,No,No,Yes,No,No
358,女性,No,No,No,No,No,No
359,女性,No,No,No,Yes,Yes,No
360,女性,No,Yes,No,Yes,No,Yes
361,女性,No,No,No,No,No,No
362,女性,No,No,No,Yes,No,No
363,女性,No,No,No,Yes,Yes,Yes
364,男性,No,Yes,Yes,No,Yes,Yes
365,男性,No,No,No,No,No,No
366,男性,No,No,No,Yes,No,Yes
367,女性,No,No,No,Yes,Yes,No
368,男性,No,No,No,No,No,No
369,女性,No,No,No,No,Yes,No
370,女性,Yes,No,No,Yes,Yes,Yes
371,女性,No,No,No,Yes,Yes,No
372,女性,Yes,Yes,No,Yes,No,Yes
373,男性,No,No,No,Yes,No,No
374,男性,No,No,No,No,No,No
375,女性,No,No,Yes,Yes,No,Yes
376,女性,No,No,No,No,Yes,No
377,女性,No,Yes,No,Yes,No,Yes
378,女性,No,No,No,Yes,No,Yes
379,女性,No,No,No,No,No,No
380,女性,No,No,No,No,No,No
381,女性,Yes,No,Yes,Yes,No,Yes
382,男性,No,No,No,Yes,No,No
383,女性,No,No,No,No,No,No
384,男性,No,No,No,Yes,Yes,No
385,女性,No,No,No,Yes,No,No
386,女性,No,No,No,Yes,No,No
387,女性,No,No,No,Yes,No,Yes
388,女性,No,No,No,No,No,No
389,女性,No,No,No,Yes,Yes,No
390,男性,No,No,No,No,No,Yes
391,女性,Yes,No,Yes,No,No,No
392,男性,No,Yes,No,Yes,No,Yes
393,女性,Yes,No,No,No,Yes,Yes
394,女性,No,No,No,No,No,No
395,男性,Yes,No,Yes,No,No,No
396,男性,No,No,No,Yes,No,Yes
397,女性,No,No,No,Yes,No,Yes
398,男性,No,No,No,Yes,No,Yes
399,男性,No,No,No,No,No,No
400,男性,No,No,No,No,No,No
401,女性,No,No,No,Yes,No,Yes
402,男性,No,No,Yes,No,No,No
403,男性,No,No,No,Yes,No,Yes
404,女性,No,No,Yes,Yes,No,Yes
405,女性,Yes,No,No,No,No,No
406,男性,No,Yes,No,No,No,Yes
407,女性,Yes,No,No,Yes,Yes,Yes
408,男性,No,No,No,No,No,Yes
409,女性,No,No,No,Yes,No,Yes
410,女性,No,No,No,No,No,Yes
411,男性,Yes,No,No,No,No,No
412,女性,No,No,No,No,No,No
413,女性,No,No,No,Yes,Yes,Yes
414,男性,No,No,Yes,No,No,Yes
415,女性,No,No,No,No,No,Yes
416,女性,Yes,No,No,No,Yes,No
417,男性,No,No,No,Yes,No,Yes
418,女性,No,No,No,Yes,Yes,No
419,男性,No,No,No,No,No,Yes
420,男性,Yes,No,No,Yes,No,Yes
421,男性,No,No,No,Yes,No,No
422,女性,Yes,No,No,Yes,No,No
423,女性,No,No,No,Yes,No,No
424,男性,No,Yes,No,Yes,No,Yes
425,女性,No,No,No,Yes,Yes,Yes
426,女性,Yes,Yes,No,Yes,No,Yes
427,女性,No,No,No,Yes,Yes,No
428,女性,No,No,No,Yes,No,Yes
429,女性,Yes,No,No,No,No,No
430,男性,No,Yes,No,No,No,No
431,女性,No,No,No,No,No,No
432,女性,No,No,Yes,Yes,No,No
433,女性,Yes,No,No,Yes,No,No
434,男性,No,No,No,No,No,No
435,男性,Yes,No,No,No,No,No
436,女性,No,No,No,Yes,No,No
437,女性,Yes,No,No,Yes,No,No
438,女性,No,No,No,No,No,No
439,女性,No,No,No,Yes,No,Yes
440,女性,No,No,No,Yes,No,No
441,男性,No,No,No,No,No,No
442,男性,No,No,No,Yes,No,No
443,女性,Yes,Yes,Yes,Yes,Yes,Yes
444,男性,No,No,No,No,No,Yes
445,女性,No,No,No,Yes,Yes,Yes
446,女性,No,Yes,No,Yes,No,No
447,女性,No,No,No,No,No,No
448,女性,No,No,No,Yes,Yes,Yes
449,男性,Yes,Yes,No,Yes,No,Yes
450,女性,No,Yes,Yes,Yes,No,Yes
451,女性,Yes,No,No,Yes,Yes,No
452,女性,No,No,No,Yes,No,Yes
453,女性,No,No,No,Yes,No,No
454,女性,No,No,No,Yes,No,No
455,女性,No,No,No,Yes,Yes,Yes
456,男性,Yes,No,No,No,No,Yes
457,男性,No,No,No,No,No,Yes
458,女性,No,No,No,Yes,No,No
459,男性,Yes,No,No,No,Yes,No
460,女性,No,No,No,Yes,No,No
461,女性,No,No,No,Yes,No,No
462,女性,No,No,No,Yes,No,No
463,男性,No,No,No,Yes,No,Yes
464,男性,No,No,No,No,No,Yes
465,女性,No,No,No,Yes,No,No
466,男性,No,No,No,No,No,No
467,女性,Yes,No,No,Yes,No,Yes
468,女性,No,No,No,Yes,No,Yes
469,女性,No,No,No,Yes,No,Yes
470,女性,No,No,No,Yes,No,Yes
471,男性,No,No,No,No,No,No
472,女性,No,No,No,No,Yes,No
473,男性,No,Yes,No,No,No,Yes
474,女性,Yes,Yes,No,Yes,Yes,No
475,男性,No,No,No,Yes,Yes,Yes
476,男性,No,No,No,No,No,No
477,女性,No,Yes,Yes,No,Yes,Yes
478,男性,Yes,Yes,No,Yes,No,Yes
479,女性,No,No,No,Yes,No,No
480,女性,No,No,No,Yes,Yes,Yes
481,女性,No,No,No,Yes,Yes,No
482,男性,No,No,No,Yes,No,Yes
483,男性,No,No,Yes,Yes,Yes,Yes
484,男性,Yes,No,No,Yes,No,Yes
485,男性,Yes,Yes,No,No,No,No
486,女性,No,No,No,Yes,No,No
487,女性,No,No,Yes,Yes,No,Yes
488,女性,No,No,No,Yes,No,No
489,女性,No,No,No,No,Yes,No
490,男性,No,No,No,No,No,Yes
491,男性,No,No,No,No,No,No
492,男性,No,No,No,Yes,No,No
493,女性,No,No,No,Yes,No,No
494,女性,No,No,No,No,Yes,No
495,男性,No,No,No,No,No,No
496,女性,No,No,No,No,No,No
497,男性,No,No,No,Yes,No,No
498,男性,Yes,No,Yes,No,No,No
499,女性,No,No,No,Yes,Yes,Yes
500,女性,Yes,No,No,No,Yes,No
501,男性,No,No,No,No,No,No
502,女性,No,No,No,Yes,No,No
503,女性,No,No,Yes,No,No,No
504,女性,No,No,Yes,Yes,No,No
505,男性,No,No,No,No,No,No
506,女性,No,No,Yes,No,Yes,No
507,女性,No,No,No,Yes,No,Yes
508,女性,No,No,No,No,No,No
509,女性,No,No,No,Yes,Yes,No
510,女性,Yes,No,No,No,Yes,No
511,男性,No,No,No,Yes,No,Yes
512,男性,No,Yes,Yes,No,No,No
513,女性,No,No,No,Yes,No,No
514,男性,No,No,No,No,No,No
515,女性,No,No,No,No,Yes,No
516,女性,No,No,No,No,Yes,Yes
517,男性,No,No,No,No,No,Yes
518,男性,Yes,Yes,Yes,Yes,Yes,Yes
519,男性,No,No,No,Yes,No,No
520,女性,No,No,No,No,Yes,No
521,女性,No,No,No,No,No,Yes
522,女性,No,No,Yes,Yes,No,No
523,女性,Yes,No,No,No,No,No
524,男性,No,No,Yes,Yes,No,No
525,女性,No,No,Yes,No,Yes,No
526,女性,No,No,No,Yes,No,Yes
527,女性,No,Yes,No,Yes,No,No
528,女性,No,No,No,No,No,No
529,女性,No,No,Yes,Yes,No,No
530,女性,No,No,No,Yes,No,Yes
531,女性,No,No,No,No,No,No
532,女性,No,No,No,No,No,No
533,女性,No,No,No,No,No,No
534,男性,No,No,No,No,No,No
